n,p,k,temperature,humidity,ph,rainfall,label
74.9816047538945,58.52142919229749,69.2797576724562,27.18390181036444,73.90046601106091,5.733991780504304,117.42508365045984,Rice
94.6470458309974,48.03345035229626,68.32290311184181,20.24701393154963,94.24774630404985,6.7486639612006325,163.70173320348283,Rice
67.27299868828402,35.50213529560301,52.169689718381505,26.297077179586854,80.7986254660529,5.936843710297063,283.55586841671385,Rice
65.57975442608168,38.76433945605655,54.65447373174767,25.47283981060443,89.62939903482534,5.799510673237539,254.27033152408347,Rice
83.6965827544817,31.393512381599933,64.30179407605753,22.0462894842475,71.62628982463198,6.92332830588,389.6896099223678,Rice
92.33589392465845,39.13841307520112,43.90688456025536,28.21079631814588,81.00381234349004,5.683057352267168,248.55307303338105,Rice
61.375540844608736,57.27961206236346,50.35119926400068,27.950267412247783,77.79277690223527,6.280102031766717,264.0130838029839,Rice
67.39417822102108,59.08753883293676,71.00531293444459,31.27398729877027,92.37068376069122,6.396849968216628,376.562270506935,Rice
63.53970008207678,35.87948587257436,41.80909155642152,23.90396396915917,79.71693224223705,5.9070235476608435,348.6212527455788,Rice
74.27013306774357,38.42803529062142,61.707843326329936,21.691090699697153,90.054924518851,5.611825965519656,396.06608098015516,Rice
90.8897907718663,35.961470446025174,40.220884684944096,29.785537141458008,87.67143359619043,6.593510752061481,331.38110400578375,Rice
62.96178606936361,40.75397185632818,44.63476238100519,30.357241110507122,85.58245317068895,5.996347037278974,119.06750508580708,Rice
72.4392928686265,39.755499660802414,69.18424713352256,27.650689656262557,92.18031856440817,6.208322387742924,135.87827378149052,Rice
88.5297914889198,52.82355145850693,62.45108790277985,29.25160615945473,82.34488990910977,6.284099244072991,228.2623055075649,Rice
61.01676506976381,33.23674280979913,41.25716742746937,27.636924935165364,77.85889952690816,6.2628560367470545,372.2699421778279,Rice
69.971689165955,42.31148769106889,70.22204554172194,22.74557798589947,71.92449774571982,5.934627179370652,148.36638617620133,Rice
97.18790609370292,54.24361138693251,65.33615026041694,30.45752708225261,90.09180192247786,5.779855088329054,367.76769954699336,Rice
81.57368967662603,54.22320465492187,75.84365199693973,23.816041699662367,72.75129811319192,5.841902743812913,228.1323365878769,Rice
92.72059063689971,55.82191749769031,40.27808522124763,26.128967630930788,80.43527507871947,5.833161715706096,135.95961020010483,Rice
73.50460685614512,58.287291117375574,52.92811728083021,26.22548746092039,87.57547397237944,6.045444403568941,391.5346248162882,Rice
98.49789179768445,37.553468874760924,59.88994023569542,23.610539717801235,77.12101235943669,5.555330421031799,282.869300193969,Rice
80.10716092915446,31.54436253749968,51.14585856946446,30.899190631599843,75.9890472666743,5.717342308136835,246.8358280832689,Rice
99.42601816442402,37.26165814534501,66.88542189623514,29.139435383944612,75.94093859981,6.59232452291779,210.33493981577595,Rice
85.29223322374318,49.00589132282684,61.43098736299034,21.0834772406529,90.88256238973095,5.981170097457603,155.95555311995628,Rice
61.63100566219056,47.72678829564725,67.1025744736913,20.199053947134274,82.80232645748202,5.839743662796907,293.55183712283497,Rice
66.97465716019965,50.72813214307398,55.469413852021496,31.240759864840815,73.43802360364982,6.011599526575388,134.04205637217672,Rice
96.98774473114251,56.32018060142943,50.31766510860622,27.91980855241015,90.4305550050304,6.332801217399194,258.89517350680194,Rice
69.67409163601806,32.79308303417697,75.88863031813307,30.805016685959966,85.8275364318317,6.008544686573051,204.76287238379825,Rice
89.03822715480958,56.913307798577314,75.48345697060469,29.358506550291487,86.05079115385719,5.6262099474925735,148.48861422838414,Rice
95.94216754108317,48.1928717897877,40.36788206466519,21.217658514392387,86.5875442277014,5.507592375769328,148.2424154252496,Rice
81.94935157466344,50.7568559307808,66.07845038010402,22.69123171352672,87.8044805336884,5.8558736312452,197.61990944778032,Rice
89.85965620472096,49.48898697141644,73.96893641976712,27.891354707604123,84.20771508338679,5.640512151742139,210.31474091783005,Rice
70.60809470726902,37.319689301372506,78.92042219009782,24.717172696001125,92.30116387942783,6.446707938995894,338.4433910624945,Rice
80.10548372420769,47.30711653879077,59.70070775275455,22.342915853576535,88.06130288153763,5.921158543661283,107.29478992943615,Rice
85.81889183628671,35.31332038221147,77.61834337411656,31.44714292403105,92.87160975551122,6.055238050383167,104.63698495866024,Rice
97.13274250350901,42.84552444951943,78.66619276174679,31.563439725071035,91.325236386684,5.941673338104379,215.52931858057758,Rice
94.04546686067428,39.50766015468833,46.7797098674437,26.681615149500203,93.40386935401952,6.54404469501246,271.01835102680946,Rice
63.887059750830744,48.45021680097509,79.60215400417053,21.681008182838287,82.95824130909342,6.816059607891933,322.23058532626135,Rice
87.88062963981072,51.07452251961328,54.37964604879021,23.52310213117392,90.23402888696285,6.715170092018771,360.1216955740311,Rice
96.52962210225886,45.34027196582814,60.060651787487984,29.579542147601302,86.24909826944413,6.552950315886555,338.73780083083034,Rice
95.60021367270265,40.13985470554607,55.02331810559776,21.127783278090426,84.45700352490435,5.553913410695113,239.67940543973805,Rice
81.70578538830307,38.59623756384853,63.63333042276043,20.366002999268595,70.93370471873035,6.733900840989487,208.05719242337886,Rice
65.0824205060754,45.66729780164413,70.79974212394444,22.589852329962117,85.57226189547501,5.628021197490652,115.5045163505823,Rice
81.25418526272591,46.219053648303195,65.49719605992826,28.71309600467194,94.39630198656337,6.274450522451793,196.88694188237378,Rice
91.80744779074814,38.124967537862226,57.558856828225444,20.941476576107192,70.63376858538643,6.943972622016887,350.79403615366175,Rice
87.83896824374793,42.268588332428095,46.931772802833834,21.877244512053032,76.25607245411489,6.3238399970591805,314.37877681001873,Rice
86.40789506870925,38.39801690837828,78.19461122652777,28.854763000349223,83.85885131278502,6.417581119351528,225.88001872833698,Rice
69.9092395800463,40.679180359537845,70.31384441857476,20.172721863557072,72.90181601267291,5.569003963032629,112.21864069569104,Rice
94.21842336044028,51.109735781400715,58.96695316349301,21.17400992781202,82.29039687792081,6.210207656170849,151.96056097300456,Rice
77.35406596951893,41.955142031921206,64.63400392208865,27.621123810411724,71.13260024430112,6.061918921939707,287.7579747142709,Rice
80.12545034320351,55.69469523564967,66.3477452647578,21.955213124977156,71.76421868501075,6.463628917309474,107.95339316248655,Rice
83.43102325093852,58.20690724274873,63.01896711503516,24.658039114478264,86.08220546105883,6.187379335737275,263.68503679478044,Rice
97.658592351061,41.58307913402323,78.44762255295657,30.864207703472765,74.8947783697324,5.604041951312748,130.233400413228,Rice
60.72887302606199,32.83328882267785,67.32027093665428,20.854263781522747,77.97439075734403,6.767312966454182,106.98158072074776,Rice
92.57873930355743,38.455643243202,44.726593104866254,28.36084598436981,85.7235711694971,6.8162080202905795,320.5213131411657,Rice
92.13923721539393,38.4610371771392,47.09758175118891,29.0073770196903,90.1708684816816,6.98575771300101,223.78530307342794,Rice
74.88072343171133,53.29238882225991,53.63214161012071,31.169087907242776,91.4603187960753,6.143491041062528,325.2613203374492,Rice
90.1817149633873,33.09371606507798,76.10211626718267,26.063028469374288,90.66143665269354,5.9800744015459175,368.65696854886016,Rice
75.56806714936653,30.325129544408952,76.21527905677056,21.095440121433604,77.98284093976037,6.925092950576207,385.1821440812668,Rice
82.93751552493144,48.95511636509398,57.937820879132786,23.518529260376773,78.21661363424789,6.508777684115557,325.712358831304,Rice
91.66316174903395,53.68854428383662,43.64824412194761,25.93304365643098,71.43896900041611,6.324293323485604,232.45915041201312,Rice
95.508167310332,40.527450376562356,44.682680657104235,21.71590018463403,89.03776579293681,6.427327094974392,130.33680283683708,Rice
